city,state_name,population
Oro Valley,Arizona,47595
Brea,California,47337
Rancho Santa Margarita,California,47257
Roseville,Michigan,47240
Mentor,Ohio,47215
Winter Garden,Florida,47182
Newark,California,47145
East Providence,Rhode Island,46970
Goose Creek,South Carolina,46964
La Mirada,California,46945
Huntsville,Texas,46917
Rowland Heights,California,46787
Beavercreek,Ohio,46787
Los Banos,California,46776
Prescott,Arizona,46744
Gallatin,Tennessee,46667
Olive Branch,Mississippi,46538
Attleboro,Massachusetts,46499
Salina,Kansas,46432
Farmington,New Mexico,46339
Whitney,Nevada,46268
Potomac,Maryland,46230
Urbandale,Iowa,46026
Strongsville,Ohio,46022
Pahrump,Nevada,45811
Hackensack,New Jersey,45768
Wentzville,Missouri,45734
Plainfield,Illinois,45705
Haltom City,Texas,45681
Altamonte Springs,Florida,45657
Keller,Texas,45598
Odenton,Maryland,45585
Ashburn,Virginia,45551
Elmhurst,Illinois,45538
East Lansing,Michigan,45394
Brentwood,Tennessee,45272
Sayreville,New Jersey,45237
Sierra Vista,Arizona,45203
Morgan Hill,California,45152
Bountiful,Utah,45093
Littleton,Colorado,45092
Pearl City,Hawaii,45079
Lake Ridge,Virginia,45007
Shakopee,Minnesota,45002
Palm Springs,California,44998
Clermont,Florida,44984
Riverton,Utah,44944
The Colony,Texas,44916
Mankato,Minnesota,44882
West Lafayette,Indiana,44802
Moorhead,Minnesota,44706
Cleveland Heights,Ohio,44694
North Lauderdale,Florida,44650
Fairfield,Ohio,44597
Sicklerville,New Jersey,44500
Fond du Lac,Wisconsin,44491
Cutler Bay,Florida,44483
Rohnert Park,California,44461
Oakley,California,44311
