name;city;state;population
Southern Connecticut State University;New Haven;Ct;11055
Mercy College;Dobbs Ferry;Ny;11039
University Of South Dakota;Vermillion;Sd;11026
Cuny Graduate School And University Center;New York;Ny;11015
Florida Agricultural And Mechanical University;Tallahassee;Fl;11014
Creighton University;Omaha;Ne;11004
Azusa Pacific University;Azusa;Ca;10969
Mercer University;Macon;Ga;10965
West Texas A & M University;Canyon;Tx;10964
Delaware County Community College;Media;Pa;10961
The University Of Tampa;Tampa;Fl;10960
Indiana Wesleyan University-National & Global;Marion;In;10944
Duquesne University;Pittsburgh;Pa;10939
Montgomery County Community College;Blue Bell;Pa;10900
Sacred Heart University;Fairfield;Ct;10896
Polk State College;Winter Haven;Fl;10892
Bunker Hill Community College;Boston;Ma;10853
Phoenix College;Phoenix;Az;10841
Thomas Edison State University;Trenton;Nj;10804
University Of California-Merced;Merced;Ca;10802
Cuesta College;San Luis Obispo;Ca;10780
Northampton County Area Community College;Bethlehem;Pa;10770
Howard Community College;Columbia;Md;10755
Norco College;Norco;Ca;10748
Murray State University;Murray;Ky;10745
Pasco-Hernando State College;New Port Richey;Fl;10631
Cabrillo College;Aptos;Ca;10545
Rasmussen University-Florida;Ocala;Fl;10519
Prairie View A & M University;Prairie View;Tx;10518
Purdue University Northwest;Hammond;In;10505
Academy Of Art University;San Francisco;Ca;10505
Baylor College Of Medicine;Houston;Tx;10496
University Of Texas Southwestern Medical Center;Dallas;Tx;10487
Santa Clara University;Santa Clara;Ca;10459
Strayer University-Global Region;Washington;Dc;10457
Southeast Community College Area;Lincoln;Ne;10433
Louisiana State University-Shreveport;Shreveport;La;10422
Southeastern University;Lakeland;Fl;10410
Embry-Riddle Aeronautical University-Daytona Beach;Daytona Beach;Fl;10365
Jacksonville State University;Jacksonville;Al;10356
Morehead State University;Morehead;Ky;10349
Butte College;Oroville;Ca;10345
Pellissippi State Community College;Knoxville;Tn;10318
University Of Arkansas At Little Rock;Little Rock;Ar;10287
Dartmouth College;Hanover;Nh;10253
Cape Fear Community College;Wilmington;Nc;10231
Chattahoochee Technical College;Marietta;Ga;10229
Texas Tech University Health Sciences Center;Lubbock;Tx;10184
Laredo College;Laredo;Tx;10149
Colorado Mesa University;Grand Junction;Co;10137
Aspen University;Denver;Co;10113
Erie Community College;Buffalo;Ny;10082
John Tyler Community College;Chester;Va;10070
Amarillo College;Amarillo;Tx;10034
Normandale Community College;Bloomington;Mn;10027
State College Of Florida-Manatee-Sarasota;Bradenton;Fl;10026
Pensacola State College;Pensacola;Fl;10002
Folsom Lake College;Folsom;Ca;9978
Los Angeles Mission College;Sylmar;Ca;9947
Suny Buffalo State;Buffalo;Ny;9915
University Of Louisiana At Monroe;Monroe;La;9908
University Of Houston-Clear Lake;Houston;Tx;9873
Triton College;River Grove;Il;9862
Eastern Illinois University;Charleston;Il;9861
Hudson Valley Community College;Troy;Ny;9843
Fashion Institute Of Technology;New York;Ny;9843
Slippery Rock University Of Pennsylvania;Slippery Rock;Pa;9801
Midlands Technical College;West Columbia;Sc;9800
University Of Michigan-Dearborn;Dearborn;Mi;9796
Solano Community College;Fairfield;Ca;9772
University Of Wisconsin-Green Bay;Green Bay;Wi;9769
Moreno Valley College;Moreno Valley;Ca;9754
Onondaga Community College;Syracuse;Ny;9744
South Plains College;Levelland;Tx;9724
Cuny Bronx Community College;Bronx;Ny;9718
Salisbury University;Salisbury;Md;9718
Belmont University;Nashville;Tn;9699
Webster University;Saint Louis;Mo;9692
Santiago Canyon College;Orange;Ca;9673
Ohlone College;Fremont;Ca;9668
University Of Southern Maine;Portland;Me;9663
Laney College;Oakland;Ca;9658
Volunteer State Community College;Gallatin;Tn;9629
Mississippi Gulf Coast Community College;Perkinston;Ms;9591
